Total Node Running Coins: 80000000
Total Ambassador Coins: 1614168
Total Quest Coins: 1680287
Total of All Tokens: 83294455
+-------------------------------------------------------+--------------+------------+-------+---------------+--------------+------------+
| Address                                               | Node Running | Ambassador | Quest | Initial Rolls | Total Tokens | Percentage |
| AU121M3KL4GKKvuqbCKz7J3PDsv1WuniZxj4MFafqXz6WNCn3Hytn |        23842 |          0 |     0 |      True     |        23842 |    0.0286% |
| AU1q4UWqmqZy18PPMqgDPZsPdjMPFj6eLdk6Xy5GuHNVN9gvLacp  |        23641 |          0 |   200 |     False     |        23841 |    0.0286% |
| AU12A5ioXs1m3VNAGZT49kj34amMY6Pcjqqz5dcPe3mZZUEpHBDeg |        23801 |          0 |     0 |      True     |        23801 |    0.0286% |
| AU12vwJMv5qDfhD5PoLvz76uRUDLgSsGkV8j4cgT77uYFheDFwNXT |        23602 |          0 |    64 |      True     |        23666 |    0.0284% |
| AU12UXmsUW5puPJ58LDhRe6jTSg1hQ5NVdRKrdzWm6MjTETnmoiiQ |        23659 |          0 |     0 |      True     |        23659 |    0.0284% |
| AU12TqGKURvnDjTGnfFpkNSJ5qtieAzwpVwKMKhQZS6EHmZ7dyLFx |        23456 |          0 |   152 |     False     |        23608 |    0.0283% |
| AU1UizWmimQUkVeozN9R5sYej7qHA3hHhGKceB6ZvtR2qAeuudTT  |        23580 |          0 |     0 |     False     |        23580 |    0.0283% |
| AU1wKACLgxQiAxUjo43LayAwbmsTVPcN7QSFZFbb6Sx43cT8osMA  |        23439 |          0 |    43 |     False     |        23482 |    0.0282% |
| AU1U4kvxpxpEAsZEwrEXM9qpZQPZBfKQgqnqVtE3T2e51pPPAWsa  |        23282 |          0 |   193 |      True     |        23475 |    0.0282% |
| AU1foeaFrmRJTbUhTmrnuQdyTgNbhw748zim8ed1T3MXjfYZZNYz  |        23364 |          0 |    94 |      True     |        23458 |    0.0282% |
| AU12m4ikUwA7LajggSHEkQYwMreKYnczGNLVhAq8MTXu7wj8RvmwB |        23319 |          0 |    98 |      True     |        23416 |    0.0281% |
| AU1wNyX5buT7t7LVs7MaSL38yjYUWHPZRhBPnskfEjKk2sZ3t8Fz  |        23384 |          0 |     0 |      True     |        23384 |    0.0281% |
| AU1iMJnSiZLcDJN5ToMafRTgAXesneFDa8VGPnxmLMxiWpG5gjq1  |        23350 |          0 |     0 |     False     |        23350 |    0.0280% |
| AU12Tk67eVZyR3myKsesp9mnn9x6ymQ52NAR8kuRoAy3joUzAxPsf |        23319 |          0 |     0 |      True     |        23319 |    0.0280% |
| AU1icTo8PvV3VQ9J7qCu386xhT4hZ7H5P2PMKhNXJnBwt67Do1MR  |        23177 |          0 |   129 |      True     |        23306 |    0.0280% |
| AU12Kjh2fq2EzEAKgc3ArgMQkrncLnGccZAx3mQtMd1YsbkBGPKjs |        23306 |          0 |     0 |     False     |        23306 |    0.0280% |
| AU12kaUkjjaG1ZcctyYMPRErBR5WwhMMufHHQ5TTr6CFnSxRWPF5K |        23153 |          0 |   146 |      True     |        23298 |    0.0280% |
| AU19NW2MRpz2FRBzCEyHmq29Snii8uGoP3Qu6FK8M5ogU3BvnyhL  |        23211 |          0 |    46 |     False     |        23257 |    0.0279% |
| AU12oqRqZ5TQFVEFTYJzpwBxEtn6buCvFUTo4mi6L8GQ9fhCiBMN9 |        23178 |          0 |     0 |      True     |        23178 |    0.0278% |
| AU1nMY5L3zk5821N4MATvhErSe3bd4w8gVnc1WEDJ9wgdMNX12aU  |        23124 |          0 |     0 |      True     |        23124 |    0.0278% |
| AU12DhYt2WmT5B51oKAHDsRCZKgssJDAVtDmfpLfwJw7uYyzVWF7Y |        23068 |          0 |     0 |      True     |        23068 |    0.0277% |
| AU112PMUsYDVcCBBVBybuCewju6cxqvQ22U4Eb67wE6mJgqBXPNP  |        23037 |          0 |     0 |      True     |        23037 |    0.0277% |
| AU1gN2neURE22gPRzaZd3aLjSBXoarJm5KHiYxXbVHEW1uqJ7Sx2  |        23023 |          0 |     0 |     False     |        23023 |    0.0276% |
| AU1HZSpHfrGXqd4xZPEqL5w6iFJSPxjhZwK8ddBRbRks4ndMGqnN  |        22931 |          0 |    89 |     False     |        23020 |    0.0276% |
| AU12KizFHZmhHUMgf4XEvbMxAhhc2nbjHCoQuGEQm1HgBGfuqnVXr |        23012 |          0 |     0 |      True     |        23012 |    0.0276% |
| AU123LKxWEGbQx8ez83gThBcEMds1BzTudnLcXimQNaHvRqgKXeiw |        22980 |          0 |     0 |      True     |        22980 |    0.0276% |
| AU1tjb3d4Hu4sW5DK6rj8v9LcwYiqQq8fk36mUDM8VWB9cwj754w  |        22957 |          0 |     0 |      True     |        22957 |    0.0276% |
| AU1iTkisNLDRy6sYnTdB4gQFA8om7joZfU29Ak6eKpXf1d2c9KUa  |        22806 |          0 |     0 |      True     |        22806 |    0.0274% |
| AU12fY2CTrixv9KEQ3Eaq7CtHiaYyHTfUcEy5XqpdfxduM7F3KnBm |        22602 |          0 |   200 |      True     |        22802 |    0.0274% |
| AU1RqxhrcqbgFr3tt7pBe9QHxNrHGyyTN3GBeUBjLaWjCircYgb8  |        22615 |          0 |   115 |     False     |        22730 |    0.0273% |
| AU1zRA6EhhUtHB6onC8wBZGfjva4pSdaEpQJWnjuoCLwzUGrAZqW  |        22606 |          0 |   111 |     False     |        22717 |    0.0273% |
| AU1UrtWecPsKJqybpCdGgxrc5ehbtk7bnfCZxHif3JNRLGbDEFmP  |        22701 |          0 |     0 |     False     |        22701 |    0.0273% |
| AU1265jYQzWGk6b1aicfxd7VzuPCqQYtgaXgBv522EvTnWTApkuym |        22613 |          0 |    86 |      True     |        22699 |    0.0273% |
| AU1vHzTCiE8PR2aDC6ZaGnHsSfTeW7ugepwiV1xVVJb3pHpcbBmZ  |        22466 |          0 |   162 |     False     |        22629 |    0.0272% |
| AU1ox9pgb2ZpigMwJKvPW1N5qP5P83anBfhLc6S9Q7j5YuU4J9qn  |        22487 |          0 |   119 |      True     |        22607 |    0.0271% |
| AU1quDV4GsVeEGAF232rJPs2tnohrMkVX7yL8rWiRuxcvDQ7Afhi  |        22556 |          0 |     0 |     False     |        22556 |    0.0271% |
| AU1AFgbfNZLUKX8SRDxz18UDA98K1vciCrpMFp6rFHCPqPAPq6U9  |        22428 |          0 |     0 |     False     |        22428 |    0.0269% |
| AU1xPjuto72hUr3gP67RAH6rLbxzRdr8qf163GaeoUBhAtqSUo7R  |        22394 |          0 |     0 |      True     |        22394 |    0.0269% |
| AU12dzzvgKkZkEZ6PtLe6smesR46roKTKpoWVq4Qr5p9yTfoHh7zj |        22389 |          0 |     0 |      True     |        22389 |    0.0269% |
| AU1waxyg5oBpztAVNyLHFPTiJ5bnHrAy3QS7QmBCojz1KUggVUqZ  |        22363 |          0 |     0 |      True     |        22363 |    0.0268% |
| AU12otu5brhsv1JdXyqhqBgxuJgJXKrnQqkBtGjzDrQA7AbvVT1jZ |        22334 |          0 |     0 |     False     |        22334 |    0.0268% |
| AU12qvUJo1PiLashDpZ97GYgbtcLcbZJJKDW1WP5eM1AGQuirkyWo |        22322 |          0 |     0 |     False     |        22322 |    0.0268% |
| AU1nYG9cRiUWwKQ58YEmAseJz9rXz2XudTrBsDJgKZf64GpN8C8s  |        22311 |          0 |     0 |      True     |        22311 |    0.0268% |
| AU1mXc3F5B7sHwsU8y1QeV1udmTM3WUxe7mM6cuHkqqMhbomhxVs  |        22262 |          0 |     0 |     False     |        22262 |    0.0267% |
| AU1iL4LjQUbNesxQrky3TcKUsuq4HBNT9STJbYXBuLYjujNT1pNu  |        22256 |          0 |     0 |      True     |        22256 |    0.0267% |
| AU1WnENubDxHtypZff1rRE21nugSQyaVxpUy8EcLePqYE3vCB9Lu  |        22129 |          0 |   123 |      True     |        22251 |    0.0267% |
| AU1oKGVVeXe6RNRYXxo9qZpEEYVeTGRH97QqSyyxUUFdZ1ncz7C7  |        22224 |          0 |     0 |      True     |        22224 |    0.0267% |
| AU1bSHjm3RXRPsCgPaYtco3G3xBvgAqk5RZKET2M2ekdZHSsXojs  |        22224 |          0 |     0 |      True     |        22224 |    0.0267% |
| AU1xjcDWVQimefp2oWVSuDsxaQgTZZKAr11v1YfdRfLBnWZ3ttEP  |        22050 |          0 |   165 |     False     |        22215 |    0.0267% |
| AU1ZE7Wrs9pBwnGKu6SqS86vSXz8cannrKNfTUUqKVpvDQwvT3Pe  |        22180 |          0 |     0 |      True     |        22180 |    0.0266% |
| AU123FkQwhdxquUhBuhUACSi2UF3sKNqjWd8t9PMq8Q3EGh2pjk3h |        22174 |          0 |     0 |     False     |        22174 |    0.0266% |
| AU1bUD9ZUbjTjLeewNbqKJ3X8DQjkwZzLekDw7j6oxpnvy2xgfG9  |        22148 |          0 |     0 |     False     |        22148 |    0.0266% |
| AU1JonHXrr41Qm1oGE9Taf4DFscBrUHTgF8jGNAg3zWo1hKEiQf7  |        22139 |          0 |     0 |      True     |        22139 |    0.0266% |
| AU1V9LMYpWZnSixLAj9Vt8WAbQt6VBwFdUBtnyK7QPrGeiBPghHT  |        22131 |          0 |     0 |     False     |        22131 |    0.0266% |
| AU1tQNnUMoukoPh2cZXNkcje2kVPQvxCXmwfE912oTx2h3VgDRm7  |        22124 |          0 |     0 |     False     |        22124 |    0.0266% |
| AU12C3czkKXC1ZNy2o1E2S5Q3mVx5B3LUGA9VcChhbpmh21MnwV9e |        22095 |          0 |     0 |      True     |        22095 |    0.0265% |
| AU1r3QydJGS2tW9tyJRy45GtkypbdmfFixzWgUvTf2msvh1dCFsY  |        22069 |          0 |     0 |      True     |        22069 |    0.0265% |
| AU1QhRw4xpdMZa7sBNVwxvHkNbveQcGEfToGBs1pwpVd2vLCvj3B  |        21976 |          0 |    89 |      True     |        22065 |    0.0265% |
| AU1i42GxTtFmU92jqn4qrcE2vSzXt6mzBwJkaCYiEj89UxPzG9PZ  |        21970 |          0 |    90 |      True     |        22060 |    0.0265% |
